0	0
0.1	0.47833
0.2	1.87
0.3	3.05
0.4	3.555
0.5	4.062
0.6	4.555
0.7	4.99
0.8	5.355
0.9	5.725
1	6.055
1.1	6.39375
1.2	6.755
1.3	7.055
1.4	7.3925
1.5	7.719
1.6	7.688
1.5	6.6
1.4	5.23125
1.3	3.79
1.2	2.37125
1.1	1.015
1	-0.168
0.9	-1.1725
0.8	-1.925
0.7	-2.55833
0.6	-3.089
0.5	-3.427
0.4	-3.709
0.3	-3.99
0.2	-4.198
0.1	-4.2375
0	-4.225
-0.1	-4.225
-0.2	-4.225
-0.3	-4.23
-0.4	-4.23
-0.5	-4.25375
-0.6	-4.325
-0.7	-4.47
-0.8	-4.61875
-0.9	-4.7925
-1	-4.928
-1.1	-5
-1.2	-5.04
-1.3	-5.075
-1.4	-5.15125
-1.5	-5.24375
-1.6	-5.245
-1.5	-4.995
-1.4	-4.7475
-1.3	-4.5175
-1.2	-4.3175
-1.1	-4.15571
-1	-4.006
-0.9	-3.96
-0.8	-3.95833
-0.7	-3.95125
-0.6	-3.9475
-0.5	-3.941
-0.4	-3.92
-0.3	-3.838
-0.2	-3.692
-0.1	-3.51625
0	-3.2875
0.1	-2.88625
0.2	-2.23125
0.3	-1.38625
0.4	-0.71
0.5	-0.1425
0.6	0.33625
0.7	0.825
0.8	1.4425
0.9	2.15
1	2.848
1.1	3.54625
1.2	4.35875
1.3	5.17
1.4	5.955
1.5	6.7125
1.6	7.364
1.5	6.26786
1.4	4.75312
1.3	3.36056
1.2	1.92
1.1	0.68857
1	-0.515
0.9	-1.4
0.8	-2.2975
0.7	-2.975
0.6	-3.39
0.5	-3.665
0.4	-3.939
0.3	-4.15625
0.2	-4.2275
0.1	-4.217
0	-4.21
-0.1	-4.21
-0.2	-4.215
-0.3	-4.22
-0.4	-4.22875
-0.5	-4.28
-0.6	-4.4
-0.7	-4.5425
-0.8	-4.72125
-0.9	-4.875
-1	-4.99
-1.1	-5.04
-1.2	-5.065
-1.3	-5.1275
-1.4	-5.225
-1.5	-5.3425
-1.6	-5.361
-1.5	-5.02562
-1.4	-4.74125
-1.3	-4.51111
-1.2	-4.31
-1.1	-4.16357
-1	-4.04
-0.9	-3.98
-0.8	-3.98
-0.7	-3.97
-0.6	-3.96125
-0.5	-3.96
-0.4	-3.955
-0.3	-3.88
-0.2	-3.7475
-0.1	-3.615
0	-3.4425
0.1	-3.14
0.2	-2.585
0.3	-1.82
0.4	-1.181
0.5	-0.69875
0.6	-0.275
0.7	0.2175
0.8	0.7
0.9	1.28875
1	1.995
1.1	2.71625
1.2	3.4075
1.3	4.25
1.4	5.00125
1.5	5.8525
1.6	6.915
1.5	5.765
1.4	4.36
1.3	3.00278
1.2	1.72929
1.1	0.49
1	-0.608
0.9	-1.6075
0.8	-2.42167
0.7	-3.10333
0.6	-3.445
0.5	-3.723
0.4	-3.9875
0.3	-4.178
0.2	-4.219
0.1	-4.204
0	-4.2
-0.1	-4.205
-0.2	-4.2125
-0.3	-4.21
-0.4	-4.2275
-0.5	-4.305
-0.6	-4.4325
-0.7	-4.585
-0.8	-4.76
-0.9	-4.91
-1	-4.98875
-1.1	-5.02125
-1.2	-5.052
-1.3	-5.13
-1.4	-5.255
-1.5	-5.37125
-1.6	-5.44
-1.5	-5.09714
-1.4	-4.77
-1.3	-4.51437
-1.2	-4.32125
-1.1	-4.17214
-1	-4.056
-0.9	-3.99125
-0.8	-3.99
-0.7	-3.98333
-0.6	-3.975
-0.5	-3.9775
-0.4	-3.975
-0.3	-3.908
-0.2	-3.79
-0.1	-3.65
0	-3.5175
0.1	-3.238
0.2	-2.715
0.3	-2.0875
0.4	-1.4275
0.5	-0.948
0.6	-0.549
0.7	-0.10875
0.8	0.3925
0.9	0.8925
1	1.525
1.1	2.255
1.2	2.984
1.3	3.79625
1.4	4.635
1.5	5.385
1.6	6.629
1.5	5.515
1.4	4.11167
